devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	NETGEAR	DG834G	v4	Broadcom BCM6348	1	240	4	16	4	-	b/g	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	DG834GT	NULL	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	DGN2200	v1	Broadcom BCM6358U	1	300	8	32	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	DGN2200	v2	Broadcom BCM6328	1	320	8	32	4	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	NETGEAR	DGN3500	NULL	Lantiq XWAY ARX168	2	333	16	64	-	4	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	DGN3500B	NULL	Lantiq XWAY ARX168	2	333	16	64	-	4	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	NETGEAR	DGND3700	v1	Broadcom BCM6368	2	400	32	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	DGND3800B	NULL	Broadcom BCM6368	2	400	32	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	DGND3700	v2	Broadcom BCM6362	2	400	32NAND	64	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.5 A
Modem	NETGEAR	DM200	NULL	Lantiq XWAY VRX220	2	500	8	64	1	-	-	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	NETGEAR	EVG2000	NULL	Broadcom BCM6369	2	400	16	64	-	5	b/g/n	-	-	2x 2.0	Yes	12 VDC, 2.5 A
Range Extender	NETGEAR	EX3700	NULL	MediaTek MT7620A	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50-60 Hz, 0.1 A
Range Extender	NETGEAR	EX3800	NULL	MediaTek MT7620A	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50-60 Hz, 0.1 A
Router	NETGEAR	FVX538	v1	Intel IXP425	1	533	16	32	10	1	-	-	-	-	Yes	100-240 VAC, 50-60 Hz
WiFi Router	NETGEAR	MBRN3000	NULL	Broadcom BCM6358	2	300	8	32	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	DGND4000	NULL	Broadcom BCM6361	2	400	32	128	-	5	b/g/n	a/n	-	2x 2.0	-	12 VDC, 5.0 A
Range Extender	NETGEAR	EX2700	NULL	MediaTek MT7620A	1	580	4	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 50/60 Hz, 0.1 A
Range Extender	NETGEAR	EX6150	NULL	MediaTek MT7621ST	1	880	16	64	-	1	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 0.2 A
Switch	NETGEAR	GS108T	v3	Realtek RTL8380M	1	500	32	128	-	8	-	-	-	-	Yes	12 VDC, 1.0 A, PoE 802.3af
WiFi Router	NETGEAR	R6080	NULL	MediaTek MT7628A	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	R6100	NULL	Atheros AR9344	1	560	128	128	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	R6120	NULL	MediaTek MT7628A	1	580	16	64	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	R6200	v1	Broadcom BCM4718	1	480	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	R6220	NULL	MediaTek MT7621ST	1	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	R6230	NULL	MediaTek MT7621ST	1	880	128	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	R6260	NULL	MediaTek MT7621AT	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	R6300	v1	Broadcom BCM4706	1	600	2	128	-	5	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 5.0 A
WiFi Router	NETGEAR	R6300	v2	Broadcom BCM4708A0	2	800	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 2.5 A
WiFi Router	NETGEAR	R6350	NULL	MediaTek MT7621AT	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	R6700	v2	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	R6800	v1	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi AP	NETGEAR	WAC104	NULL	MediaTek MT7621AT	1	880	128NAND	256	-	4	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi AP	NETGEAR	WAC124	NULL	MediaTek MT7621AT	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	-	12 VDC, 1.5 A
WiFi Router	NETGEAR	WN604	NULL	Atheros AR7240	1	340	4	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WN802T	v2	Atheros AR9132	1	400	8	32	-	1	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	R6250	NULL	Broadcom BCM4708A0	2	800	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	R7000	NULL	Broadcom BCM4709A0	2	1000	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.5 A
WiFi Router	NETGEAR	R7500	v2	Qualcomm Atheros IPQ8064	2	1400	128	256	-	5	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 3.5 A
WiFi Router	NETGEAR	R7500	v1	Qualcomm Atheros IPQ8064	2	1400	128NAND	256	-	5	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 3.5 A
WiFi Router	NETGEAR	R7800	NULL	Qualcomm Atheros IPQ8065	2	1700	128NAND	512	-	5	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 3.5 A
WiFi Router	NETGEAR	R8000	NULL	Broadcom BCM4709A0	2	1000	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 5.0 A
WiFi Router	NETGEAR	VVG2000-1	NULL	Broadcom BCM6368	2	400	8	32	4	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi AP	NETGEAR	WAC510	NULL	IPQ4018	4	710	128	256	-	2	b/g/n	a/n/ac	-	-	Yes	(Optional) Barrel 12 Volt DC 2.5 Amp, WAN port active IEEE 802.3af/at PoE in
WiFi Router	NETGEAR	WAG302	v1	Intel IXP422BB	1	266	8	32	1	-	b/g	a	-	-	Yes	12 VDC, 1.2 A, PoE 802.3af
WiFi AP	NETGEAR	WAG302	v2	Intel IXP422BB	1	266	8	16	1	-	b/g	a	-	-	Yes	12 VDC, 1.2 A
WiFi Router	NETGEAR	WG302	v1	Intel IXP422BB	1	266	8	32	1	-	b/g	-	-	-	Yes	12 VDC, 1.2 A, PoE 802.3af
WiFi AP	NETGEAR	WG302	v2	Intel IXP422BB	1	266	8	16	1	-	b/g	-	-	-	Yes	-
WiFi Router	NETGEAR	WGT634U	NULL	Broadcom BCM5365	1	200	8	32	5	-	b/g	-	-	1x 2.0	Yes	12 VDC, 1.0 A
Range Extender	NETGEAR	WN2500RP	v1	Broadcom BCM5357	1	266	8	64	4	-	b/g/n	a/n	-	-	-	12 VDC, 1.0 A
Range Extender	NETGEAR	WN3000RP	v1	Broadcom BCM5357B0	1	300	4	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 50-60 Hz, 0.3 A
Travel Router	NETGEAR	WNCE2001	NULL	Ralink RT3052	1	384	4	32	1	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
WiFi Router	NETGEAR	WNDAP360	NULL	Atheros AR7161	1	680	8	128	-	1	b/g/n	a/n	-	-	Yes	12 VDC, 1.0 A, PoE 802.3af
WiFi Router	NETGEAR	WNDR3300	v1	Broadcom BCM4704	1	264	4	16	5	-	b/g/n	a/n	-	-	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNDR3400	v1	Broadcom BCM4718	1	480	8	64	5	-	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNDR3400	v2	Broadcom BCM5357	1	530	8	64	5	-	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNDR3400	v3	Broadcom BCM5358	1	530	8	64	5	-	b/g/n	a/n	-	1x 2.0	-	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNDR3700	v1	Atheros AR7161	1	680	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR3700	v2	Atheros AR7161	1	680	16	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR3700	v3	Broadcom BCM4718A1	1	480	8	64	-	5	b/g/n	a/n	-	1x 2.0	-	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR3700	v4	Atheros AR9344	1	560	128NAND	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR3700	v5	MediaTek MT7621ST	1	880	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNDRMAC	v1	Atheros AR7161	1	680	16	64	-	5	b/g/n	a/n	-	1x 2.0	-	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR37AV	v1	Atheros AR7161	1	680	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR37AV	v2	Atheros AR7161	1	680	16	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR3800	NULL	Atheros AR7161	1	680	16	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR3800	1CHNAS	Atheros AR7161	1	680	16	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDRMAC	v2	Atheros AR7161	1	680	16	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR4000	NULL	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR4300	v1	Atheros AR9344	1	560	128NAND	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	NETGEAR	WNDR4300SW	v1	Atheros AR9344	1	560	128NAND	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	-
WiFi Router	NETGEAR	WNDR4300	v2	Qualcomm Atheros QCA9563	1	775	2	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNDR4500	v1	Broadcom BCM4706	1	600	128NAND	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	-
WiFi Router	NETGEAR	WNDR4700	v1	AppliedMicro APM82181	1	1000	128NAND	256	-	5	b/g/n	a/n	-	2x 3.0	Yes	12 VDC, 5.0 A
WiFi Router	NETGEAR	WNR1000	v2	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR1000	v2-VC	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR1000	v3	Broadcom BCM5356	1	333	4	16	5	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WN2000RPT	v1	Atheros AR9132	1	400	4	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WN2000RPT	v2	Atheros AR7241	1	360	4	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR2000	v1	Atheros AR9130	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR2000	v2	Broadcom BCM4716	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR2000	v3	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR2000	v4	Atheros AR9341	1	533	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR2200	16MB (RU/CN)	Atheros AR7241	1	360	16	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNR2200	8MB (EU)	Atheros AR7241	1	360	8	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNR3500	v2	Broadcom BCM4718A1	1	453	4	32	-	5	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR3500L	v1	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNR3500L	v2	Broadcom BCM47186	1	480	128NAND	128	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WNR3500U	v1	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	NETGEAR	WNR612	v2	Atheros AR7240	1	400	4	32	3	-	b/g/n	-	-	-	Yes	7.5 VDC, 1.0 A
WiFi Router	On Networks	N150R	NULL	Atheros AR7240	1	400	4	32	3	-	b/g/n	-	-	-	Yes	7.5 VDC, 1.0 A
WiFi Router	NETGEAR	WNR834B	v2	Broadcom BCM4704KFBG	1	264	4	16	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WNR854T	NULL	Marvell 88F5180NB1	1	500	8	32	-	5	b/g/n	-	-	-	Yes	12 VDC, 1.5 A
WiFi Router	NETGEAR	WPN824N	NULL	Atheros AR7240	1	360	4	32	5	-	b/g/n	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	WPN824N NA	NULL	Atheros AR7240	1	360	4	32	5	-	b/g/n	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	netis	M1200AC	NULL	MediaTek MT7621AT	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	netis	WF2881	NULL	MediaTek MT7621AT	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
Travel Router	Nexx	WT1520F	NULL	Ralink RT5350	1	360	8	32	2	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 1.0 A
Travel Router	Nexx	WT1520H	NULL	Ralink RT5350	1	360	4	32	2	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 1.0 A
Travel Router	Nexx	WT3020A	NULL	MediaTek MT7620N	1	580	4	64	2	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 0.5 A (-USB)
Travel Router	Nexx	WT3020AD	NULL	MediaTek MT7620N	1	580	8	64	2	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 0.5 A (-USB)
Travel Router	Nexx	WT3020F	NULL	MediaTek MT7620N	1	580	8	64	2	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 0.5 A (-USB)
Travel Router	Nexx	WT3020H	NULL	MediaTek MT7620N	1	580	8	64	2	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 0.5 A (-USB)
WiFi Router	NuCom	R5010UN	v2	Broadcom BCM6328	1	320	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	-
Single Board Computer	NXP	LS1088A-RDB	NULL	NXP LS1088A	8	1800	128	8192	-	8	-	-	-	2x 3.0	Yes	-
WiFi Router	Observa	VH4032N	NULL	Broadcom BCM6368	2	400	32	128	4	-	b/g/n	a/n	-	3x 2.0	Yes	15 VDC, 1.2 A
Single Board Computer	Olimex	A10-OLinuXino-LIME	NULL	Allwinner A10	1	1000	microSD	512	1	-	-	-	-	2x 2.0	Yes	5 VDC, 3.7V LiPo battery
Single Board Computer	Olimex	A13-OLinuXino-WIFI	NULL	Allwinner A13	1	1000	microSD	512	-	-	b/g/n	-	-	3x 2.0	Yes	6-16 VDC
Single Board Computer	Olimex	A13-SOM-512	NULL	Allwinner A13	1	1000	microSD	512	-	-	-	-	-	-	Yes	3.3 VDC
Single Board Computer	Olimex	A13-SOM-256	NULL	Allwinner A13	1	1000	microSD	256	-	-	-	-	-	-	Yes	-
Single Board Computer	Olimex	A20-OLinuXino-LIME	NULL	Allwinner A20	2	1000	microSD	512	1	-	-	-	-	2x 2.0	Yes	5 VDC, 3.7 VDC LiPo battery
Single Board Computer	Olimex	A20-OLinuXino-LIME2	NULL	Allwinner A20	2	1000	microSDHC	1024	-	1	-	-	-	2x 2.0	Yes	5 VDC, 3.7 VDC LiPo battery
Single Board Computer	Olimex	A20-OLinuXino-MICRO	NULL	Allwinner A20	2	1000	SD	1024	1	-	-	-	-	2x 2.0	Yes	8-24 VDC
Single Board Computer	Olimex	iMX233-OLinuXino-MAXI	NULL	Freescale i.MX233	1	454	microSD	64	1	-	-	-	-	2x 2.0	Yes	-
Single Board Computer	Olimex	iMX233-OLinuXino-MICRO	NULL	Freescale i.MX233	1	454	microSD	64	-	-	-	-	-	1x 2.0	Yes	-
Single Board Computer	Olimex	iMX233-OLinuXino-MINI-WiFi	NULL	Freescale i.MX233	1	454	microSD	64	-	-	b/g/n	-	-	3x 2.0	Yes	-
Single Board Computer	Olimex	iMX233-OLinuXino-MINI	NULL	Freescale i.MX233	1	454	microSD	64	-	-	-	-	-	3x 2.0	Yes	-
Single Board Computer	Olimex	iMX233-OLinuXino-NANO	NULL	Freescale i.MX233	1	454	microSD	64	-	-	-	-	-	1x 2.0	Yes	-
Single Board Computer	Olimex	RT5350F-OLinuXino-EVB	Rev. A	Ralink RT5350F	1	360	8	32	5	-	b/g/n	-	-	1x 2.0 Device	Yes	5 VDC
WiFi Router	OMYlink	OMY-G1	NULL	Atheros AR9341	1	535	16	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC
WiFi AP	OMYlink	OMY-X1	NULL	Atheros AR9341	1	535	8	64	2	-	b/g/n	-	-	-	Yes	PoE 802.3af
Single Board Computer	OpenEmbed	SOM9331	v1	Qualcomm Atheros AR9331	1	400	8	64	3	-	b/g/n	-	-	1x 2.0	Yes	3.3 VDC, 0.35 A
WiFi Router	Open-Mesh	OM2P	NULL	Atheros AR7240	1	400	16	64	2	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Option	Globesurfer III	NULL	Broadcom BCM5354	1	240	32	32	2	-	b/g	-	-	1x 2.0	Yes	5 VDC, 3.0 A
WiFi Router	Pacific Networks	RT150M	v1	Atheros AR7240	1	350	4	32	5	-	b/g/n	-	-	-	-	-
Travel Router - Battery powered	Patriot Memory	Gauntlet Node	NULL	Ralink RT5350F	1	360	8	64	-	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, battery
Single Board Computer	PC Engines	ALIX 1c	NULL	AMD Geode LX800	1	500	CF card	256	1	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 1d	NULL	AMD Geode LX800	1	500	CF card	256	1	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 2d0	NULL	AMD Geode LX700	1	433	CF card	128	2	-	-	-	-	-	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 2d1	NULL	AMD Geode LX700	1	433	CF card	128	3	-	-	-	-	-	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 2d2	NULL	AMD Geode LX800	1	500	CF card	256	2	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 2d3	NULL	AMD Geode LX800	1	500	CF card	256	3	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max.
Single Board Computer	PC Engines	ALIX 2d4	NULL	AMD Geode LX800	1	500	CF card	128	2	-	-	-	-	-	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 2d5	NULL	AMD Geode LX800	1	500	CF card	128	3	-	-	-	-	-	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 2d13	NULL	AMD Geode LX800	1	500	CF card	256	3	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 3d1	NULL	AMD Geode LX700	1	433	CF card	128	1	-	-	-	-	-	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 3d2	NULL	AMD Geode LX800	1	500	CF card	256	1	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 3d3	NULL	AMD Geode LX800	1	500	CF card	256	1	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	ALIX 6f2	NULL	AMD Geode LX800	1	500	CF card	256	2	-	-	-	-	2x 2.0	Yes	DC jack or passive POE, min. 7V to max. 20V
Single Board Computer	PC Engines	APU1C	NULL	AMD T40E	2	1000	SD	2048	-	3	-	-	-	2x 2.0	Yes	-
Single Board Computer	PC Engines	APU1C4	NULL	AMD T40E	2	1000	SD	4096	-	3	-	-	-	2x 2.0	Yes	-
Router	PC Engines	APU1D	NULL	AMD T40E	2	800	SD	2048	-	3	-	-	-	2x 2.0	Yes	12 VDC, 2.0 A
Router	PC Engines	APU2C4	NULL	AMD GX-412TC	4	1000	SD	4096	-	3	-	-	-	2x 3.0	Yes	12 VDC, 2.0 A
Router	PC Engines	APU2C2	NULL	AMD GX-412TC	4	1000	SD	2048	-	3	-	-	-	2x 3.0	Yes	12 VDC, 2.0 A
Router	PC Engines	APU2C0	NULL	AMD GX-412TC	4	1000	SD	2048	-	2	-	-	-	2x 3.0	Yes	12 VDC, 2.0 A
Router	PC Engines	APU3C4	NULL	AMD GX-412TC	4	1000	SD	4096	-	3	-	-	-	2x 3.0	Yes	-
Router	PC Engines	APU3C2	NULL	AMD GX-412TC	4	1000	SD	2048	-	3	-	-	-	2x 3.0	Yes	12 VDC, 2.0 A
Router	PC Engines	APU3A2	NULL	AMD GX-412TC	4	1000	SD	2048	-	3	-	-	-	2x 3.0	Yes	12 VDC, 2.0 A
Single Board Computer	PC Engines	WRAP	NULL	AMD Geode SC1100	1	233	CF card	128	-	-	-	-	-	1x Header	Yes	-
WiFi Router	Petatel	PSR-680W	NULL	Ralink RT3052	1	450	4	32	5	-	b/g/n	-	-	-	Yes	-
WiFi Router	PHICOMM	K2P	A2	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	PHICOMM	KE2P	C1	MediaTek MT7621A	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	PHICOMM	K3	A1	Broadcom BCM4709C0	2	1400	128	512	-	4	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 4.0 A
WiFi Router	PHICOMM	PSG1208	NULL	MediaTek MT7620A	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
Single Board Computer	Pine64	PINE A64+	NULL	Allwinner A64	4	1152	microSDHC	1024	-	1	-	-	-	2x 2.0	Yes	5 VDC, 2.0 A
Single Board Computer	Pine64	RockPro64	2.1	Rockchip RK3399	6	1800	microSD	4096	-	1	-	-	-	2x 3.0	Yes	-
WiFi Router	Pirelli	AliceGate AGPF	NULL	Broadcom BCM6358	2	300	16	32	4	-	b/g	-	-	1x 2.0	Yes	-
WiFi Router	Pirelli	FastWeb DRG A226M	NULL	Broadcom BCM6358	2	300	8	64	4	-	-	-	-	1x 2.0	Yes	-
WiFi Router	Planex	MZK-W04NU	NULL	Atheros AR9130	1	400	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 3.0 A
WiFi Router	Planex	MZK-W300NH	NULL	Atheros AR9130	1	400	8	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	Poray	IP2202	NULL	Ralink RT3052F	1	320	8	64	-	-	b/g/n	-	-	1x 2.0	-	-
Travel Router - Battery powered	Poray	M3	NULL	Ralink RT5350F	1	360	4	32	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC (-USB), 11200 mAh battery
WiFi Router	Poray	M4	NULL	Ralink RT5350F	1	360	8	32	-	-	b/g/n	-	-	1x 2.0	-	-
Travel Router - Battery powered	Poray	PRP-X5/X6	NULL	Ralink RT5350F	1	360	8	32	1	-	b/g/n	-	-	1x 2.0	Yes	X5 7800 mAh battery, X6 10000 mAh battery
Travel Router - Battery powered	Poray	X8	NULL	Ralink RT5350F	1	360	8	32	1	-	b/g/n	-	-	1x 2.0	-	11200 mAh battery
WiFi AP	PowerCloud Systems	CAP324	NULL	Atheros AR9344	1	-	16	128	-	1	b/g/n	a/n	-	-	Yes	12 VDC, 1.25 A, PoE
WiFi Router	PowerCloud Systems	CR3000	NULL	Atheros AR1321 (detects as AR9341 rev 1)	1	535	8	64	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A, barrel connector
WiFi Router	PowerCloud Systems	CR5000	NULL	Atheros AR1022	1	535	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.25 A
WiFi Router	Prolink	PWH2004	NULL	Ralink RT3052	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
Emulator	QEMU (x86_64)	qemu-system-x86_64	>2.0	kvm x86_64	1	Emulator	-	-	-	-	-	-	-	-	-	-
Emulator	QEMU (aarch64)	qemu-system-aarch64	>2.0	arm64	1	Emulator	-	-	-	-	-	-	-	-	-	-
Emulator	QEMU (armvirt)	qemu-system-arm	0.12.5	armvirt	1	Emulator	-	-	-	-	-	-	-	-	-	-
Emulator	QEMU (i386)	qemu-system-i386	0.12.5	x86 kvm_guest	1	Emulator	-	-	-	-	-	-	-	-	-	-
Emulator	QEMU (malta)	qemu-system-mips(el)	0.12.5	malta	1	Emulator	-	-	-	-	-	-	-	-	-	-
WiFi Router	Qihoo hardware	C301	NULL	Atheros AR9344	1	560	32	128	3	-	b/g/n	a/n/ac	-	Yes	Yes	5 VDC, 2.5 A
